cph,x,y,infDay
269/0058,360116.3004,654234.7167,103
269/0089,353397.0,647328.0,99
270/0002,358342.0,643620.0,107
270/0003,359590.0,644955.0,94
270/0007,357463.0,645881.0,94
270/0010,358730.0,642746.0,95
270/0013,356135.0,644607.0,93
270/0019,356615.0,645420.0,108
271/0003,361822.0,633053.0,110
271/0007,362897.0,634011.0,102
271/0009,358592.0,634499.0,97
271/0012,362180.0,634488.0,87
271/0016,361259.0,636485.0,90
271/0017,360799.0,633601.0,108
271/0021,358890.0,633409.0,97
272/0001,368741.0,636650.0,124
272/0004,367373.0,638538.0,100
272/0005,366625.0,637863.0,99
273/0002,360440.0,647242.0,96
273/0003,361401.422,648172.0427,114
273/0004,365512.0,652458.0,90
273/0011,363048.0,650095.0,90
273/0013,365588.0,650674.0,102
273/0014,364042.0,645957.0,87
273/0021,363314.0,648488.0,102
273/0023,360282.0,649928.0,105
273/0034,365306.0,647720.0,103
273/0049,360167.4653,648471.445,111
273/0056,359526.0,647536.0,106
274/0051,204384.8623,632897.7434,96
274/0070,201613.0,630310.0,126
275/0014,202662.0405,621528.8457,129
275/0017,199509.0,621738.0,132
275/0022,201860.0,621309.0,135
275/0033,201630.0,621661.0,111
275/0034,199696.0,621166.0,124
275/0040,198537.0,620932.0,129
275/0044,198179.0,620822.0,119
275/0060,194718.0,624212.0,147
275/0068,195424.0,621620.0,127
275/0070,195886.0,622656.0,129
275/0074,194596.0,625185.0,117
275/0083,193032.0,624255.0,130
275/0086,193175.0,622855.0,148
275/0134,203765.0,621939.0,130
275/0139,192704.0,631838.0,131
275/0249,204100.0,621986.0,129
275/0253,194394.0,628072.0,154
276/0016,211087.0,656792.0,121
276/0030,210749.0,657397.0,132
277/0003,199392.0,670877.0,133
277/0044,205734.0,658962.0,141
279/0004,217708.0,658294.0,98
295/0006,320676.0,564594.0,84
295/0014,319007.0,565539.0,97
295/0017,320694.0,568780.0,69
295/0020,318063.0,569839.0,86
295/0024,317719.4905,571243.7525,84
295/0027,317219.0,569337.0,56
295/0028,320316.0,568933.0,68
295/0041,321663.0,568919.0,95
295/0045,323347.1267,570583.2975,70
295/0046,317153.0,566193.0,95
295/0047,316424.0,569333.0,89
295/0071,320423.0,565810.0,55
295/0086,317411.0,569954.0,88
295/0087,323072.7748,570159.6273,76
295/0088,320328.0,569638.0,99
295/0090,322328.8785,569640.9341,82
295/0091,321083.0,566616.0,31
295/0092,321753.0,565666.0,53
295/0094,320174.0,570044.0,76
295/0095,323017.0,569852.0,76
295/0096,320003.0,568994.0,98
295/0122,323017.0,572358.0,78
295/0126,318771.0,567058.0,78
295/0128,316999.0,566107.0,95
295/0130,316999.0,566107.0,111
295/0137,318733.0,566939.0,106
295/0146,321086.0,570865.0,102
295/0148,323887.0,571653.0,111
295/0149,320146.0,571049.0,67
295/0150,321702.0,572818.0,95
295/0167,318369.0,572036.0,79
295/0169,317307.3036,565141.1714,77
295/0178,319536.0,566930.0,74
296/0002,313459.0,567096.0,75
296/0005,316826.0,567446.0,74
296/0006,312715.0,570965.0,74
296/0007,314099.0,571920.0,70
296/0009,313308.0,566640.0,61
296/0012,315552.0,573021.0,58
296/0014,312397.6651,570066.855,102
296/0015,315344.0,572764.0,89
296/0018,312622.8987,567426.0151,107
296/0020,315376.0,566689.0,72
296/0024,315668.0,571449.0,78
296/0026,311353.7949,565678.7754,96
296/0028,314143.0,565923.0,90
296/0033,313330.0,565345.0,78
296/0037,312941.0,570671.0,73
296/0040,314026.0,572377.0,68
296/0041,311701.3775,565536.3075,74
296/0047,316058.0,572078.0,72
296/0050,314083.0,570641.0,69
296/0051,312151.1023,568521.2197,72
296/0054,316932.0,570817.0,72
296/0061,313086.0,569753.0,70
296/0062,312715.0,570965.0,72
296/0063,317290.4655,570571.6509,98
296/0066,315580.0,567539.0,73
297/0002,323284.6676,568173.7651,61
297/0005,323923.0,566944.0,72
297/0009,322406.0,565711.0,75
297/0012,323236.0,567639.0,76
297/0014,322233.0,566599.0,72
297/0020,325103.0,567928.0,80
297/0021,325855.0,567735.0,94
297/0023,325306.0,568012.0,98
297/0057,324140.0,565710.0,68
297/0063,324420.0,571120.0,90
297/0074,324389.0,566178.0,103
298/0001,302385.0,569592.0,90
298/0004,304126.0,565807.0,76
298/0006,302865.0,567986.0,72
298/0008,302018.0,567134.0,70
298/0009,299754.0,568472.0,92
298/0014,301672.742,570211.0118,84
